日期,#35排传感器,#37排传感器,#35排时间,#37排时间
25/09/2022,325,325,15:57:03,14:50:13
26/09/2022,325,325,19:07:57,3:22:20
27/09/2022,325,325,22:44:26,18:06:24
28/09/2022,325,325,5:08:59,22:24:59
29/09/2022,325,325,19:53:49,10:58:50
30/09/2022,325,325,13:42:58,13:41:30
1/10/2022,325,325,10:47:41,12:55:35
2/10/2022,325,325,4:09:32,14:05:18
3/10/2022,325,325,12:52:09,11:05:49
4/10/2022,325,325,14:25:46,17:02:16
5/10/2022,319,325,2:02:44,23:38:39
6/10/2022,319,319,1:56:38,1:21:18
7/10/2022,319,319,14:49:58,8:05:52
8/10/2022,319,319,0:30:20,15:04:51
9/10/2022,319,319,19:10:45,19:20:23
10/10/2022,313,319,11:12:08,3:19:45
11/10/2022,313,313,15:08:06,13:00:47
12/10/2022,313,313,16:29:26,12:22:21
13/10/2022,307,313,13:30:28,11:35:57
14/10/2022,307,313,21:47:00,16:44:51
15/10/2022,307,307,22:28:49,1:50:37
16/10/2022,301,307,10:35:11,23:49:28
17/10/2022,301,301,10:06:19,22:43:59
18/10/2022,295,301,5:56:29,3:53:28
19/10/2022,295,301,14:30:23,1:34:10
20/10/2022,295,295,12:55:16,21:43:35
21/10/2022,295,295,23:50:12,4:21:43
22/10/2022,289,295,16:55:02,23:06:09
23/10/2022,289,289,9:37:18,15:35:37
24/10/2022,289,289,22:22:51,19:47:47
25/10/2022,289,289,5:26:48,13:10:04
26/10/2022,283,289,21:57:28,20:35:51
27/10/2022,283,283,5:37:29,15:09:47
28/10/2022,283,283,21:22:03,3:23:45
29/10/2022,283,283,9:21:27,14:31:26
30/10/2022,277,283,18:22:58,12:12:02
31/10/2022,277,277,5:40:53,3:30:39
1/11/2022,277,277,9:54:46,3:17:37
2/11/2022,277,277,19:18:42,13:31:29
3/11/2022,271,277,13:09:38,3:52:47
4/11/2022,271,271,20:31:54,8:11:45
5/11/2022,271,271,22:48:56,17:21:48
6/11/2022,271,271,21:39:58,1:39:09
7/11/2022,271,271,11:44:52,10:04:15
8/11/2022,265,265,13:40:52,2:16:08
9/11/2022,265,265,4:47:35,20:51:57
10/11/2022,265,265,18:29:02,22:28:54
11/11/2022,259,259,22:51:59,7:19:05
12/11/2022,259,259,7:41:38,9:27:11
13/11/2022,253,253,21:33:25,17:34:43
14/11/2022,253,253,9:40:27,21:01:59
15/11/2022,247,247,15:24:46,6:02:28
16/11/2022,247,247,15:11:07,1:05:38
17/11/2022,247,247,9:10:51,17:45:18
18/11/2022,247,247,11:39:03,18:20:02
19/11/2022,247,247,21:45:46,23:05:59
20/11/2022,247,247,2:40:29,8:34:30
21/11/2022,241,241,23:55:58,7:13:35
22/11/2022,241,241,8:32:28,11:13:59
23/11/2022,235,241,5:47:45,0:11:00
24/11/2022,235,235,1:17:40,13:14:02
25/11/2022,229,229,13:02:51,17:21:42
26/11/2022,229,229,6:50:47,19:38:00
27/11/2022,223,229,23:33:40,8:41:41
28/11/2022,223,223,20:23:56,15:01:19
29/11/2022,217,223,20:31:31,9:31:31
30/11/2022,217,217,4:13:14,4:15:00
1/12/2022,211,217,23:37:40,7:57:35
2/12/2022,205,211,9:00:22,4:38:20
3/12/2022,205,211,11:26:27,13:42:30
4/12/2022,199,205,3:05:19,12:42:27
5/12/2022,199,205,20:44:29,6:06:01
6/12/2022,193,199,6:58:56,20:48:41
7/12/2022,193,199,12:49:20,5:57:00
8/12/2022,187,193,23:46:42,21:14:54
9/12/2022,181,187,7:30:06,0:28:52
10/12/2022,181,187,11:00:44,19:33:12
11/12/2022,175,181,5:57:24,12:14:14
12/12/2022,169,175,15:04:49,23:54:33
13/12/2022,169,175,8:58:48,3:34:01
14/12/2022,163,169,8:28:34,20:20:02
15/12/2022,157,163,18:52:08,4:49:11
16/12/2022,157,163,19:55:32,4:41:38
17/12/2022,151,157,8:11:57,16:48:16
18/12/2022,145,157,10:42:45,1:03:23
19/12/2022,145,151,5:06:23,6:56:30
20/12/2022,139,145,5:12:32,1:24:37
21/12/2022,133,145,16:28:55,21:41:10
22/12/2022,127,139,22:54:03,20:24:40
23/12/2022,121,133,9:08:30,0:16:09
24/12/2022,115,127,1:35:47,15:09:08
25/12/2022,115,121,10:56:21,5:41:11
26/12/2022,109,121,5:00:28,23:39:31
27/12/2022,103,115,8:49:22,16:34:09
28/12/2022,103,109,23:23:59,0:56:20
29/12/2022,97,103,11:48:36,15:47:46
30/12/2022,97,97,23:45:39,13:20:33
31/12/2022,91,97,2:38:59,16:18:45
1/01/2023,91,91,16:26:52,2:07:56
2/01/2023,85,91,12:56:03,2:51:26
3/01/2023,79,85,12:47:19,16:31:51
4/01/2023,79,79,10:24:38,8:37:22
5/01/2023,73,73,3:58:48,6:16:12
6/01/2023,73,73,12:48:37,8:21:35
7/01/2023,67,67,5:54:03,0:50:03
8/01/2023,67,67,21:51:32,17:13:38
9/01/2023,61,61,11:51:10,19:49:47
10/01/2023,55,57,6:00:05,7:14:09
11/01/2023,55,57,8:27:03,3:16:20
12/01/2023,49,49,21:24:37,7:45:01
